question_no,ChatGPT,Gemini,Claude,Perplexity,total_out_of_12,percent_of_max
1,0,0,3,0,3,25.0
2,0,3,0,0,3,25.0
3,1,3,3,3,10,83.33
4,0,3,3,3,9,75.0
5,3,3,3,3,12,100.0
6,3,3,3,3,12,100.0
7,0,3,3,3,9,75.0
8,0,0,0,0,0,0.0
9,3,3,3,3,12,100.0
10,3,0,3,0,6,50.0
11,3,3,3,3,12,100.0
12,3,3,3,3,12,100.0
13,3,3,3,3,12,100.0
14,0,3,0,0,3,25.0
15,3,3,3,3,12,100.0
16,3,3,3,3,12,100.0
17,3,3,0,3,9,75.0
18,3,3,0,3,9,75.0
19,3,3,3,3,12,100.0
20,3,0,3,3,9,75.0
21,3,3,0,0,6,50.0
22,3,3,3,3,12,100.0
23,3,3,3,0,9,75.0
24,3,3,0,3,9,75.0
25,3,3,3,3,12,100.0
26,3,0,0,3,6,50.0
27,3,3,3,3,12,100.0
28,3,3,3,3,12,100.0
29,3,3,3,3,12,100.0
30,3,3,3,3,12,100.0
31,3,0,0,0,3,25.0
32,3,3,3,0,9,75.0
